Time_UTC,Julian_Date,RA_deg,Dec_deg
2020-10-10,2459132.5008007213,21.608158592186907,5.579885999322132
2020-10-11,2459133.5008007213,21.28838478434655,5.517487186097212
2020-10-12,2459134.5008007213,20.967325073672516,5.455725620044983
2020-10-13,2459135.5008007213,20.645808226361066,5.394847116109137
2020-10-14,2459136.5008007213,20.32467508373989,5.335101657022567
2020-10-15,2459137.5008007213,20.004775651874166,5.276742835366474
2020-10-16,2459138.5008007213,19.686964281375534,5.22002649910144
2020-10-17,2459139.500800722,19.372092255821194,5.165208251367648
2020-10-18,2459140.500800722,19.060997943353875,5.112539798882261
2020-10-19,2459141.500800722,18.754495827361044,5.062264659322866
2020-10-20,2459142.500800722,18.453366469424708,5.014614104467381
2020-10-21,2459143.500800722,18.158349172855104,4.969804146521547
2020-10-22,2459144.500800722,17.87013799919565,4.9280339183274515
2020-10-23,2459145.5008007223,17.589380637776358,4.889485288004361
2020-10-24,2459146.5008007223,17.316679062267685,4.854323272424613
2020-10-25,2459147.5008007223,17.052590967817032,4.8226968120380835
2020-10-26,2459148.5008007223,16.79763134959762,4.794739614830556
2020-10-27,2459149.5008007227,16.552273956641592,4.770570937260388
2020-10-28,2459150.5008007227,16.316952599786283,4.7502962809111136
2020-10-29,2459151.5008007227,16.092062403460645,4.734008037925118
2020-10-30,2459152.5008007227,15.877961109764522,4.721786131730815
2020-10-31,2459153.500800723,15.674970512937863,4.713698689942171
2020-11-01,2459154.500800723,15.483378054073366,4.709802766997302
2020-11-02,2459155.500800723,15.303438560515705,4.710145114344374
2020-11-03,2459156.5008007237,15.135376085112398,4.714762982068994
2020-11-04,2459157.5008007237,14.979385793804592,4.723684931389419
2020-11-05,2459158.5008007237,14.835635864737942,4.736931642799238
2020-11-06,2459159.500800724,14.704269389116105,4.754516716669639
2020-11-07,2459160.500800724,14.585406288561005,4.77644747574562
2020-11-08,2459161.5008007246,14.479145268160885,4.802725784258302
2020-11-09,2459162.5008007246,14.385565791237696,4.833348887675598
2020-11-10,2459163.5008007246,14.304729977713672,4.868310242426687
2020-11-11,2459164.500800725,14.236684192662015,4.907600242740426
2020-11-12,2459165.500800725,14.18145993863391,4.951206672372262
2020-11-13,2459166.5008007255,14.13907358708129,4.9991146505800845
2020-11-14,2459167.5008007255,14.109524626692929,5.051305873662052
2020-11-15,2459168.500800726,14.092792573997556,5.10775713951926
2020-11-16,2459169.500800726,14.088833368045192,5.16843845651039
2020-11-17,2459170.5008007265,14.097576548806785,5.233311308001994
2020-11-18,2459171.5008007265,14.118924371503155,5.302327654028231
2020-11-19,2459172.500800727,14.152753242520337,5.375429954699985
2020-11-20,2459173.500800727,14.1989169822535,5.452552094301767
2020-11-21,2459174.5008007274,14.257250956035756,5.533620824947244
2020-11-22,2459175.5008007274,14.32757618346152,5.618557326208075
2020-11-23,2459176.500800728,14.409702896447124,5.707278609036254
2020-11-24,2459177.500800728,14.503433382438116,5.799698651901903
2020-11-25,2459178.5008007283,14.608564182919743,5.895729271106385
2020-11-26,2459179.5008007283,14.724887814725482,5.995280783374743
2020-11-27,2459180.500800729,14.852194191057285,6.0982625335186915
